,ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B
FZD5,ENSG00000163251,5.032846252,9.481102191,7.963544569,5.18E-09,1.78E-07,10.40352547
DSP,ENSG00000096696,4.312188849,9.993829146,12.12872257,2.39E-13,2.20E-11,20.42504826
ELOVL6,ENSG00000170522,3.742833812,8.1287093,6.571241488,2.36E-07,5.14E-06,6.572880692
LIN28A,ENSG00000131914,3.645572198,9.058878312,6.37097379,4.16E-07,8.50E-06,6.007453825
SERPINA1,ENSG00000197249,3.492788988,9.84754072,4.279692788,0.000165137,0.00146517,0.075463218
CDH1,ENSG00000039068,3.433899002,8.156763345,4.902618001,2.79E-05,0.000322377,1.8230601
LYZ,ENSG00000090382,3.391997556,8.930052004,4.531729616,8.08E-05,0.000787809,0.777006558
SOX17,ENSG00000164736,3.369333365,9.113686276,10.31580418,1.40E-11,8.67E-10,16.34211174
APOA2,ENSG00000158874,3.334013955,8.011494754,2.335742755,0.026102551,0.093552638,-4.738103355
APOE,ENSG00000130203,3.299547934,10.66210817,8.314139387,2.05E-09,7.84E-08,11.33411155
ST6GAL1,ENSG00000073849,3.211177496,9.396449297,13.97378732,5.62E-15,7.67E-13,24.17132889
CCND2,ENSG00000118971,3.154813571,10.3899405,4.816934155,3.57E-05,0.000399997,1.580272248
F2RL1,ENSG00000164251,3.12259507,7.77173544,6.886171359,9.79E-08,2.32E-06,7.455890135
DERA,ENSG00000023697,3.119808979,8.724994419,6.608178128,2.13E-07,4.69E-06,6.676854441
CRIP1,ENSG00000213145,3.052317666,8.681716143,5.456466251,5.68E-06,8.07E-05,3.40167088
COL4A1,ENSG00000187498,2.900210286,10.38283108,7.432985558,2.17E-08,6.14E-07,8.967498596
C1QB,ENSG00000173369,2.836495391,8.496093776,4.543191183,7.82E-05,0.000763531,0.80911618
TXN,ENSG00000136810,2.82613249,9.86282542,6.257235026,5.75E-07,1.13E-05,5.685175956
KRT19,ENSG00000171345,2.800386812,7.927060043,2.136775654,0.040560678,0.13131359,-5.13182722
EFEMP1,ENSG00000115380,2.797724852,8.9210805,3.682688524,0.000868618,0.005887616,-1.539124272
IGHM,ENSG00000211899,2.78967006,8.538538472,2.678421395,0.01169489,0.049013184,-4.004334269
MMP9,ENSG00000100985,2.768656893,9.963045011,3.89055179,0.000490612,0.003629316,-0.986075442
MDK,ENSG00000110492,2.764586578,9.093569935,6.021874351,1.12E-06,2.05E-05,5.016091886
LAPTM5,ENSG00000162511,2.761837684,10.3087621,6.898973861,9.45E-08,2.25E-06,7.491609282
PLXNA2,ENSG00000076356,2.739552868,8.565557839,5.207789898,1.16E-05,0.000152194,2.691481838
CST1,ENSG00000170373,2.731255696,7.558467805,2.127207423,0.041408558,0.133275658,-5.150113567
COL1A1,ENSG00000108821,2.723530168,10.30309739,4.337062472,0.000140407,0.00127496,0.234326349
TYROBP,ENSG00000011600,2.698336834,8.45008209,5.208448147,1.16E-05,0.00015205,2.693359651
HLA-DRA,ENSG00000204287,2.645802534,9.992137152,4.234749633,0.000187467,0.001618201,-0.048611845
PODXL,ENSG00000128567,2.639325962,9.422650673,4.469649445,9.64E-05,0.000918837,0.60337777
SPINT1,ENSG00000166145,2.609738377,8.85052949,11.78985922,4.97E-13,4.16E-11,19.69345691
RGS1,ENSG00000090104,2.606968316,6.912740984,4.523639453,8.26E-05,0.000800188,0.75435173
CXCR4,ENSG00000121966,2.604027126,9.905438899,7.131271449,4.96E-08,1.27E-06,8.13709593
FN1,ENSG00000115414,2.599742603,11.8853992,3.823815021,0.000589908,0.004256724,-1.164838957
CCKBR,ENSG00000110148,2.589325079,8.001352829,2.375137786,0.023865912,0.087193947,-4.657203334
IGKC,ENSG00000211592,2.584317161,9.948161137,2.373739227,0.023942235,0.087383671,-4.66009145
RAB15,ENSG00000139998,2.578948748,10.00834158,6.370659239,4.17E-07,8.50E-06,6.00656363
COL4A2,ENSG00000134871,2.547443553,11.0777831,7.31025365,3.03E-08,8.21E-07,8.630843772
IGKV1-17,ENSG00000240382,2.540373254,8.299485064,2.319587197,0.027073474,0.096190382,-4.771005777
ESRP1,ENSG00000104413,2.536040123,9.447206622,6.543444856,2.56E-07,5.52E-06,6.494568606
CD9,ENSG00000010278,2.531200849,10.54882025,4.498889069,8.87E-05,0.000850577,0.685094655
CYBA,ENSG00000051523,2.527674926,9.395806057,8.602124901,9.70E-10,4.04E-08,12.086999
LOXL2,ENSG00000134013,2.523249031,8.948725437,5.337323427,8.00E-06,0.000109751,3.061254145
GDF3,ENSG00000184344,2.503980156,9.460871604,3.500060049,0.001424061,0.008941881,-2.015133781
LMNB1,ENSG00000113368,2.503838592,7.918984834,5.863381292,1.77E-06,3.01E-05,4.564222094
ADM,ENSG00000148926,2.501367767,8.252758572,3.78972395,0.00064794,0.004605321,-1.25573066
ISG15,ENSG00000187608,2.500575816,9.316289588,3.704988312,0.00081732,0.005611603,-1.480337189
APOC1,ENSG00000130208,2.494018219,10.83975424,7.017508768,6.80E-08,1.66E-06,7.821616648
PPM1H,ENSG00000111110,2.485020941,7.789456512,6.618345353,2.07E-07,4.59E-06,6.705456315
ZMIZ1,ENSG00000108175,2.483971422,10.01009741,9.301321636,1.64E-10,8.07E-09,13.87014725
ENO2,ENSG00000111674,2.435000105,9.05727478,3.937186853,0.000431121,0.003258191,-0.86052798
GSTP1,ENSG00000084207,2.433834667,10.41340863,9.139641185,2.47E-10,1.17E-08,13.46353607
C1QA,ENSG00000173372,2.416910044,9.346255058,3.855098154,0.000541136,0.003946633,-1.081177812
