gene,HR,95% CI,p.value
ENSG00000111640,10.6,(1.2-90),0.0309
ENSG00000089157,36.4,(2.6-510),0.00745
ENSG00000142541,26.3,(1.1-640),0.0443
ENSG00000184009,311,(7.1-14000),0.00293
ENSG00000144713,81.6,(3-2200),0.00901
ENSG00000254772,19.2,(1.6-230),0.0185
ENSG00000172757,68,(3.6-1300),0.00483
ENSG00000008988,0.0625,(0.004-0.98),0.0486
ENSG00000223532,0.44,(0.22-0.89),0.0215
ENSG00000234745,0.44,(0.22-0.89),0.0215
ENSG00000224608,0.44,(0.22-0.89),0.0215
ENSG00000206450,0.44,(0.22-0.89),0.0215
ENSG00000232126,0.44,(0.22-0.89),0.0215
ENSG00000228964,0.44,(0.22-0.89),0.0215
ENSG00000229215,0.386,(0.18-0.82),0.0132
ENSG00000223980,0.386,(0.18-0.82),0.0132
ENSG00000224320,0.386,(0.18-0.82),0.0132
ENSG00000227715,0.386,(0.18-0.82),0.0132
ENSG00000231834,0.386,(0.18-0.82),0.0132
ENSG00000206503,0.386,(0.18-0.82),0.0132
ENSG00000235657,0.386,(0.18-0.82),0.0132
ENSG00000206505,0.386,(0.18-0.82),0.0132
ENSG00000162244,31.8,(3.3-310),0.00275
ENSG00000142534,28,(2.1-380),0.0122
ENSG00000233841,0.326,(0.14-0.78),0.0121
ENSG00000237022,0.326,(0.14-0.78),0.0121
ENSG00000225691,0.326,(0.14-0.78),0.0121
ENSG00000206452,0.326,(0.14-0.78),0.0121
ENSG00000228299,0.326,(0.14-0.78),0.0121
ENSG00000206435,0.326,(0.14-0.78),0.0121
ENSG00000204525,0.326,(0.14-0.78),0.0121
ENSG00000115414,2.49,(1-5.9),0.0397
ENSG00000177600,20.4,(1.1-370),0.0407
ENSG00000105640,7.63,(1.6-37),0.0116
ENSG00000171858,9.07,(1.2-68),0.0314
ENSG00000087460,2.84,(1.2-7),0.0223
ENSG00000108107,12.7,(1.2-140),0.037
ENSG00000083845,5.31,(1.2-23),0.0267
ENSG00000142089,0.341,(0.16-0.72),0.00479
ENSG00000174748,17.6,(2.8-110),0.00212
ENSG00000166681,2.77,(1.1-7.1),0.035
ENSG00000125148,0.359,(0.2-0.63),0.000368
ENSG00000118705,8.32,(1.5-47),0.017
ENSG00000232112,5.86,(1.3-26),0.0194
ENSG00000143384,0.0704,(0.01-0.48),0.00667
ENSG00000185624,11.9,(2.1-69),0.0057
ENSG00000123562,8.13,(1.9-35),0.00495
ENSG00000110651,0.325,(0.12-0.85),0.0215
ENSG00000130066,0.4,(0.2-0.79),0.00814
ENSG00000019582,0.644,(0.42-0.99),0.0467
ENSG00000205542,0.374,(0.17-0.85),0.0181
ENSG00000167283,67.6,(4.6-1000),0.00216
ENSG00000140264,9.24,(1.2-70),0.0313
ENSG00000160888,0.328,(0.13-0.8),0.0144
ENSG00000244020,0.303,(0.16-0.57),0.000235
ENSG00000117592,417,(19-9000),0.00012
ENSG00000240972,2.84,(1.1-7.5),0.0348
ENSG00000276701,2.84,(1.1-7.5),0.0348
ENSG00000205358,0.345,(0.19-0.61),0.000278
ENSG00000137409,0.0497,(0.0076-0.33),0.00179
ENSG00000125144,0.297,(0.16-0.57),0.000241
ENSG00000187193,0.337,(0.18-0.62),0.000438
ENSG00000136156,0.0904,(0.028-0.29),4.56e-05
ENSG00000136938,15.1,(2.2-100),0.00584
ENSG00000057608,55.4,(5.7-540),0.000529
ENSG00000143761,22.8,(2.9-180),0.00309
ENSG00000100941,21.4,(2.1-220),0.00986
ENSG00000143543,7.94,(1.3-48),0.0234
ENSG00000164924,7.79,(1.6-38),0.0112
ENSG00000134825,14.6,(1.5-140),0.0202
ENSG00000060138,0.348,(0.13-0.93),0.0361
ENSG00000158710,2.96,(1.3-6.8),0.00973
ENSG00000137403,0.37,(0.16-0.83),0.016
ENSG00000235220,0.37,(0.16-0.83),0.016
ENSG00000229698,0.37,(0.16-0.83),0.016
ENSG00000234487,0.37,(0.16-0.83),0.016
ENSG00000206509,0.37,(0.16-0.83),0.016
ENSG00000204642,0.37,(0.16-0.83),0.016
ENSG00000237508,0.37,(0.16-0.83),0.016
ENSG00000110321,38.4,(1.1-1400),0.0462
ENSG00000225201,0.39,(0.17-0.9),0.0275
ENSG00000236632,0.39,(0.17-0.9),0.0275
ENSG00000230254,0.39,(0.17-0.9),0.0275
ENSG00000206493,0.39,(0.17-0.9),0.0275
ENSG00000229252,0.39,(0.17-0.9),0.0275
ENSG00000204592,0.39,(0.17-0.9),0.0275
ENSG00000233904,0.39,(0.17-0.9),0.0275
ENSG00000185201,0.401,(0.22-0.74),0.00378
ENSG00000130255,9.67,(1.9-49),0.00607
ENSG00000067225,3.69,(1.2-11),0.0229
ENSG00000185885,0.534,(0.35-0.8),0.00264
ENSG00000168384,0.697,(0.49-0.98),0.0407
ENSG00000206291,0.697,(0.49-0.98),0.0407
ENSG00000235844,0.697,(0.49-0.98),0.0407
ENSG00000229685,0.697,(0.49-0.98),0.0407
ENSG00000228163,0.697,(0.49-0.98),0.0407
ENSG00000231389,0.697,(0.49-0.98),0.0407
ENSG00000224103,0.697,(0.49-0.98),0.0407
ENSG00000236177,0.697,(0.49-0.98),0.0407
ENSG00000101367,11.7,(1.8-79),0.0111
ENSG00000115306,0.0602,(0.014-0.26),2e-04
ENSG00000244038,8.03,(1.3-49),0.0235
ENSG00000188229,5.55,(1.2-25),0.0263
ENSG00000125743,37.9,(3.2-450),0.00392
ENSG00000140612,29.6,(3-290),0.00381
ENSG00000010278,0.474,(0.25-0.88),0.0191
ENSG00000069849,32.4,(3.3-320),0.00287
ENSG00000178035,7.17,(2.3-23),0.000749
ENSG00000176340,39.6,(2.7-580),0.00734
ENSG00000120742,9.6,(1.7-55),0.0109
ENSG00000152518,0.473,(0.25-0.9),0.0233
ENSG00000167468,9.1,(2.2-38),0.00247
ENSG00000101182,7.15,(1.5-33),0.0125
ENSG00000165629,23.1,(3-180),0.00249
ENSG00000143321,10.8,(3.3-35),7.02e-05
ENSG00000182326,0.638,(0.45-0.9),0.00966
ENSG00000265972,0.525,(0.32-0.86),0.00971
ENSG00000169715,0.42,(0.24-0.73),0.00197
ENSG00000159377,53.1,(3.6-780),0.00376
ENSG00000115310,7.83,(1.6-38),0.0103
ENSG00000167004,10.6,(1.9-59),0.00675
ENSG00000131473,32.4,(4.4-240),0.000645
ENSG00000100380,5.6,(1-31),0.0487
ENSG00000163479,51.4,(6.7-390),0.000154
ENSG00000103502,0.172,(0.048-0.61),0.00636
ENSG00000100823,5.88,(1.1-32),0.0397
ENSG00000185088,0.333,(0.12-0.9),0.0303
ENSG00000167770,932,(15-59000),0.00125
ENSG00000174021,4.73,(1.3-17),0.018
ENSG00000172053,19.3,(2.3-160),0.00647
ENSG00000282958,205,(15-2700),5.43e-05
ENSG00000125944,205,(15-2700),5.43e-05
ENSG00000122218,17.2,(1.8-160),0.013
