"gene","HR","95% CI","p.value"
"ENSG00000255420",342,"(3.3-36000)",0.0138
"ENSG00000258630",9010,"(43-1900000)",0.000862
"ENSG00000242041",0.444,"(0.2-1)",0.0492
"ENSG00000264091",0.313,"(0.13-0.76)",0.00995
"ENSG00000239877",34.4,"(3.3-360)",0.00316
"ENSG00000225488",197,"(4.5-8700)",0.00617
"ENSG00000214866",2350,"(4-1400000)",0.0168
"ENSG00000273797",5.27,"(1.5-19)",0.0114
"ENSG00000258116",2.61,"(1.1-6.4)",0.0358
"ENSG00000101323",3.95e+10,"(1.9-8.3e+20)",0.0442
"ENSG00000227863",458000,"(160-1.3e+09)",0.00131
"ENSG00000222054",202,"(2.1-20000)",0.0228
"ENSG00000216902",1.06e+08,"(3.9-2.8e+15)",0.0342
"ENSG00000254768",5.05,"(1.1-24)",0.0411
"ENSG00000196296",0.492,"(0.25-0.99)",0.0456
"ENSG00000260286",180,"(4.9-6600)",0.00468
"ENSG00000241815",6.81e+23,"(3.8e+11-1.2e+36)",0.000139
"ENSG00000228045",376,"(1.1-130000)",0.0478
"ENSG00000177519",0.733,"(0.54-0.99)",0.0412
"ENSG00000275592",3.37e+09,"(61-1.9e+17)",0.0159
"ENSG00000254174",0.582,"(0.36-0.94)",0.0281
"ENSG00000186723",1.02e+10,"(22-4.8e+18)",0.0237
"ENSG00000266392",1.65,"(1-2.6)",0.0336
"ENSG00000249309",530,"(14-21000)",0.000769
"ENSG00000255236",14.1,"(1.6-130)",0.0184
"ENSG00000119471",2.33,"(1.1-4.8)",0.0231
"ENSG00000229086",15.2,"(3.6-64)",0.000214
"ENSG00000263878",3400,"(12-960000)",0.00472
"ENSG00000267567",21.8,"(2.1-230)",0.0102
"ENSG00000225675",0.0704,"(0.0071-0.69)",0.023
"ENSG00000200034",10300,"(1.9-5.7e+07)",0.0357
"ENSG00000226053",1e+14,"(1.3e+07-7.8e+20)",6.78e-05
"ENSG00000254222",92.6,"(4.9-1800)",0.00255
"ENSG00000231597",166,"(5.4-5100)",0.00337
"ENSG00000169856",2.73,"(1-7.2)",0.0419
"ENSG00000256195",9.2e+28,"(4.9e+08-1.7e+49)",0.0051
"ENSG00000266908",19200,"(2.4-1.5e+08)",0.0315
"ENSG00000257198",296000,"(34-2.6e+09)",0.00642
"ENSG00000259474",218,"(3.5-13000)",0.0105
"ENSG00000231740",36100000,"(120-1.1e+13)",0.00695
"ENSG00000248173",2040,"(17-250000)",0.00191
"ENSG00000168746",1.7e+10,"(390-7.4e+17)",0.0087
"ENSG00000206717",142,"(1.7-12000)",0.0274
"ENSG00000257748",16.7,"(2.8-99)",0.00194
"ENSG00000272995",8.69,"(1-72)",0.045
"ENSG00000213180",18.9,"(1.1-330)",0.0443
"ENSG00000183066",15,"(1.1-200)",0.0392
"ENSG00000234409",3.01,"(1.2-7.3)",0.0155
"ENSG00000280148",1790000,"(2.5-1.3e+12)",0.0365
"ENSG00000138152",54.2,"(5.2-560)",0.00083
"ENSG00000254526",343000,"(30-3.9e+09)",0.00753
"ENSG00000251774",7.77,"(1.8-34)",0.0062
"ENSG00000176752",7.14e+33,"(6.6e+16-7.7e+50)",9.82e-05
"ENSG00000269107",6.26e+10,"(110-3.6e+19)",0.0158
"ENSG00000270965",7.19e+17,"(1.8-2.8e+35)",0.0467
"ENSG00000227023",2.56e+25,"(2.3-2.8e+50)",0.0467
"ENSG00000180846",341,"(6-19000)",0.00468
"ENSG00000271222",27000,"(2.5-2.9e+08)",0.0312
"ENSG00000253583",14.1,"(2-99)",0.00769
"ENSG00000249613",1.38e+10,"(250-7.6e+17)",0.0102
"ENSG00000278725",16.3,"(1-260)",0.0499
"ENSG00000255032",102,"(1.3-8000)",0.0381
"ENSG00000257510",6.59e+18,"(2200-2e+34)",0.0172
"ENSG00000253678",5.18,"(1.3-20)",0.0184
"ENSG00000229508",4.11e+18,"(5500000-3.1e+30)",0.00212
"ENSG00000150750",12.3,"(2.5-62)",0.0023
"ENSG00000235862",1.56e+39,"(29-8.5e+76)",0.0418
"ENSG00000281780",0.48,"(0.26-0.9)",0.0226
"ENSG00000237833",7.08e+24,"(2800000-1.8e+43)",0.00813
"ENSG00000230799",0.0107,"(0.00016-0.72)",0.0346
"ENSG00000251286",164,"(1.4-19000)",0.0364
"ENSG00000189376",0.571,"(0.34-0.96)",0.0356
"ENSG00000242012",74200,"(90-6.1e+07)",0.00106
"ENSG00000273806",1820,"(1.1-3e+06)",0.0467
"ENSG00000242600",3.07,"(1-9.3)",0.0469
"ENSG00000234202",64.3,"(1.1-3800)",0.0456
"ENSG00000249338",2.23e+08,"(1800-2.8e+13)",0.00132
"ENSG00000184741",9.7e+21,"(5e+05-1.9e+38)",0.00814
"ENSG00000253314",32000,"(1.2-8.3e+08)",0.0454
"ENSG00000205636",5.79e+10,"(120-2.7e+19)",0.0149
"ENSG00000261470",569,"(4.9-66000)",0.00894
"ENSG00000261446",6.02e+10,"(11000-3.3e+17)",0.00172
"ENSG00000245857",2.93,"(1.1-8.2)",0.0399
"ENSG00000167459",108,"(2.1-5600)",0.0203
"ENSG00000136367",2.48,"(1-6)",0.0446
"ENSG00000255117",33800000,"(450-2.6e+12)",0.00249
"ENSG00000235519",57.8,"(2.2-1500)",0.0156
"ENSG00000258413",24.9,"(3.6-170)",0.00103
"ENSG00000200494",9000,"(11-7400000)",0.00787
"ENSG00000164256",1110,"(9.2-130000)",0.00414
"ENSG00000207624",0.0779,"(0.0066-0.92)",0.0429
"ENSG00000254878",5400,"(11-2600000)",0.00629
"ENSG00000100804",2.35,"(1.2-4.8)",0.018
"ENSG00000251256",6560000,"(10-4.2e+12)",0.0213
"ENSG00000263595",5.33,"(1.3-22)",0.0201
"ENSG00000187003",2.41,"(1.3-4.4)",0.00376
"ENSG00000226783",1.7e-29,"(4.4e-58-0.66)",0.0486
"ENSG00000252539",2.78,"(1.2-6.4)",0.0161
"ENSG00000251249",540,"(3.8-77000)",0.013
"ENSG00000223765",1.67e+08,"(570-4.9e+13)",0.00321
"ENSG00000277987",1.76,"(1.1-2.7)",0.0127
"ENSG00000224117",2.14e-10,"(2.9e-17-0.0016)",0.00577
"ENSG00000155254",1.65,"(1.1-2.5)",0.0241
"ENSG00000257756",3.42e+08,"(45-2.6e+15)",0.0151
"ENSG00000223651",1.18e+10,"(1.4-9.6e+19)",0.0464
